# chi2_tot  chi2_prior  chi2_data
   3517.03     1.46699    3515.56
   3460.58    0.197742    3460.38
   3513.62     1.21846     3512.4
   3563.33    0.427383     3562.9
   3610.14    0.353066    3609.79
   3583.48    0.669004    3582.81
   3545.58    0.717943    3544.86
   3550.49       1.353    3549.14
    3459.1     3.79173    3455.31
   3545.89    0.204001    3545.69
   3431.51     1.22982    3430.28
   3486.63    0.286464    3486.34
   3556.96    0.299002    3556.66
   3480.12    0.188801    3479.93
   3598.05    0.341996    3597.71
   3441.75     2.41562    3439.33
   3611.93    0.454681    3611.47
   3610.63     1.19427    3609.44
   3439.79    0.547697    3439.24
   3407.27    0.701457    3406.57
   3408.52    0.586718    3407.94
   3441.56     1.03986    3440.52
   3624.85      1.7044    3623.15
    3471.3    0.528265    3470.78
    3549.3    0.508507    3548.79
   3694.24    0.976451    3693.26
   3593.02     0.30748    3592.72
    3503.8     1.77744    3502.02
   3517.61    0.267421    3517.34
   3560.35    0.183127    3560.17
   3503.75     3.11486    3500.64
   3491.82     2.37613    3489.44
   3497.62     0.46439    3497.16
   3605.32    0.916468     3604.4
   3540.76    0.929732    3539.83
   3534.27     1.47787    3532.79
    3530.7     2.20058     3528.5
   3414.97     1.55932    3413.41
   3591.25     1.85539     3589.4
   3637.26    0.735698    3636.53
   3565.38     2.16631    3563.21
   3590.14    0.841323    3589.29
    3478.5     1.26772    3477.23
   3521.21     1.84781    3519.36
   3708.68    0.992325    3707.69
   3533.53    0.787678    3532.74
   3563.96    0.900885    3563.06
   3548.87     1.04699    3547.82
   3415.83     1.33143     3414.5
   3597.88    0.783514    3597.09
   3487.51      1.0573    3486.46
   3503.78     1.44035    3502.34
   3398.45    0.288488    3398.16
   3351.29     1.09092     3350.2
   3748.34    0.176123    3748.17
   3536.53    0.746245    3535.79
   3556.12    0.590463    3555.52
   3668.57    0.640419    3667.93
   3533.04     1.28462    3531.75
   3481.41     1.87027    3479.54
   3561.08    0.460447    3560.62
   3465.18     1.42184    3463.76
   3519.45    0.390393    3519.06
   3469.64    0.695768    3468.94
   3539.33     1.97364    3537.36
   3511.69    0.310985    3511.38
   3516.47    0.202791    3516.26
   3533.95    0.753769    3533.19
   3520.34      1.4546    3518.88
   3664.93    0.561238    3664.37
   3552.26    0.469278     3551.8
   3514.61     1.16217    3513.45
   3524.82     0.68597    3524.13
   3520.26     1.26469       3519
   3531.86     1.27118    3530.59
   3753.66     0.64552    3753.01
   3488.42    0.976615    3487.44
   3411.95    0.303026    3411.64
   3638.57    0.438058    3638.14
   3605.17     0.51764    3604.65
   3659.54    0.965109    3658.58
   3508.09     1.32514    3506.77
   3415.76    0.667149    3415.09
   3627.85     0.50297    3627.35
   3574.21     1.03177    3573.18
   3471.21    0.495418    3470.71
   3427.29     1.75767    3425.53
   3591.27    0.710109    3590.56
    3528.1     1.11355    3526.99
   3601.43    0.900831    3600.53
   3613.43    0.424468    3613.01
   3495.21     1.55564    3493.66
   3453.75    0.880325    3452.87
   3548.24     1.18416    3547.06
   3460.67    0.907659    3459.77
