# chi2_tot  chi2_prior  chi2_data
   793.311    0.665522    792.645
   709.813    0.195798    709.617
   850.285    0.192875    850.092
   789.732    0.551347     789.18
   745.114    0.165278    744.949
   755.227    0.605985    754.621
   728.708     0.73462    727.973
   707.864     1.58752    706.276
   740.858    0.390353    740.468
   774.058    0.503594    773.554
   772.188    0.671653    771.517
   780.828    0.524692    780.303
   710.395    0.163098    710.232
   803.732    0.297158    803.435
   799.843    0.783587    799.059
   809.354    0.232078    809.122
   814.973    0.453932    814.519
   780.859    0.209954    780.649
   829.793    0.330378    829.462
   835.983    0.270166    835.712
    781.12    0.386546    780.734
    808.78    0.296921    808.483
   757.628    0.287146    757.341
   744.962    0.188459    744.773
   844.421    0.288405    844.132
    811.16    0.838791    810.321
   799.291    0.376096    798.915
   769.483    0.646183    768.837
   849.401     0.44542    848.955
   789.667    0.672481    788.995
   828.879    0.341948    828.537
   778.116    0.188774    777.928
    789.93    0.274692    789.656
   802.724    0.294751     802.43
   794.657     2.18114    792.476
   751.951    0.176398    751.774
   757.434    0.243567    757.191
   803.155    0.194765     802.96
   733.653    0.713786    732.939
   771.966    0.557019    771.409
   747.283     1.65517    745.628
   756.341    0.648879    755.692
   774.094    0.516274    773.577
   806.413    0.345827    806.067
   863.446    0.558255    862.888
   805.001    0.334229    804.667
   732.858    0.429036    732.429
   779.039    0.546922    778.492
   829.274     2.32565    826.949
   792.278    0.259373    792.019
   812.062    0.311754     811.75
   799.329    0.616489    798.713
   813.677    0.400463    813.277
   728.316    0.158021    728.158
   823.995    0.660012    823.335
   785.427    0.594079    784.832
   723.135    0.628306    722.507
   786.646    0.371597    786.274
   780.558     0.30085    780.258
   797.534    0.271174    797.262
   745.548    0.615633    744.932
   783.723    0.260152    783.463
   745.725    0.901955    744.823
   803.684    0.922141    802.762
   772.774    0.253325    772.521
   764.668    0.567975      764.1
   734.608     0.22292    734.385
   749.143     2.31774    746.825
    760.78    0.582943    760.197
   771.229    0.808333    770.421
   763.745    0.788165    762.957
   788.389    0.536698    787.852
   808.799    0.544533    808.255
   826.625    0.185187     826.44
   826.329     1.08991    825.239
    772.14   0.0868996    772.053
   828.234    0.400301    827.834
   791.943    0.371297    791.572
   838.709     1.31001    837.399
   732.956    0.250257    732.706
   754.902    0.235502    754.667
   795.973    0.437863    795.535
    732.46      3.5301     728.93
   738.151    0.389138    737.762
   864.678    0.162623    864.515
    817.97    0.408829    817.561
   705.293    0.413352    704.879
   775.923    0.176101    775.747
   727.343    0.219064    727.124
   674.237    0.616998     673.62
   860.463     1.32361    859.139
   780.701    0.459253    780.242
   775.368    0.209042    775.159
   756.395    0.835743    755.559
   830.339    0.322874    830.016
   803.855    0.571867    803.283
   782.585    0.497885    782.087
   802.729    0.381953    802.347
   772.998    0.387884     772.61
   763.749     0.56881     763.18
   761.513    0.374673    761.138
   799.264    0.310411    798.954
   844.968    0.426907    844.541
   870.832    0.903723    869.929
   811.169     1.79078    809.379
   799.662    0.312341    799.349
   794.107    0.256782    793.851
   756.152    0.247184    755.905
   766.921    0.268692    766.652
   841.306    0.331174    840.975
   806.343    0.431845    805.911
   778.878    0.127742     778.75
   772.978    0.257709     772.72
   826.094     0.52105    825.573
   751.536    0.329687    751.206
   820.008    0.544898    819.463
   731.891    0.541717    731.349
   809.324    0.301394    809.022
   854.995    0.439907    854.556
